ano,zona,sigla_partido,cargo,turno,votos_nominais,votos_nao_nominais
1998,2,PMDB,deputado estadual,1,1060,154
1998,2,PMN,deputado estadual,1,207,33
1998,2,PPB,deputado estadual,1,3230,661
1998,2,PPS,deputado estadual,1,339,238
1998,2,PRN,deputado estadual,1,28,9
1998,2,PRONA,deputado estadual,1,342,434
1998,2,PRP,deputado estadual,1,352,47
1998,2,PRTB,deputado estadual,1,57,8
1998,2,PSB,deputado estadual,1,1148,186
1998,2,PSC,deputado estadual,1,639,50
1998,2,PSD,deputado estadual,1,249,51
1998,2,PSDB,deputado estadual,1,7181,1510
1998,2,PSDC,deputado estadual,1,159,28
1998,2,PSL,deputado estadual,1,27,24
1998,2,PSN,deputado estadual,1,18,13
1998,2,PST,deputado estadual,1,227,15
1998,2,PSTU,deputado estadual,1,88,93
1998,2,PT,deputado estadual,1,2026,1967
1998,2,PT do B,deputado estadual,1,835,50
1998,2,PTB,deputado estadual,1,1238,134
1998,2,PTN,deputado estadual,1,786,46
1998,2,PV,deputado estadual,1,23,38
1998,2,PAN,deputado federal,1,5,7
1998,2,PC do B,deputado federal,1,872,96
1998,2,PCB,deputado federal,1,40,24
1998,2,PDT,deputado federal,1,3798,1047
1998,2,PFL,deputado federal,1,7831,1073
1998,2,PGT,deputado federal,1,3,7
1998,2,PL,deputado federal,1,371,129
1998,2,PMDB,deputado federal,1,602,144
1998,2,PMN,deputado federal,1,36,48
1998,2,PPB,deputado federal,1,4970,519
1998,2,PPS,deputado federal,1,331,321
1998,2,PRN,deputado federal,1,20,7
1998,2,PRONA,deputado federal,1,101,468
1998,2,PRP,deputado federal,1,165,45
1998,2,PRTB,deputado federal,1,38,29
1998,2,PSB,deputado federal,1,985,155
1998,2,PSC,deputado federal,1,433,86
1998,2,PSD,deputado federal,1,56,32
1998,2,PSDB,deputado federal,1,2837,1791
1998,2,PSDC,deputado federal,1,219,34
1998,2,PSL,deputado federal,1,47,22
1998,2,PSN,deputado federal,1,62,29
1998,2,PST,deputado federal,1,1,29
1998,2,PSTU,deputado federal,1,693,84
1998,2,PT,deputado federal,1,2397,2117
1998,2,PT do B,deputado federal,1,373,26
1998,2,PTB,deputado federal,1,929,98
1998,2,PTN,deputado federal,1,98,97
1998,2,PV,deputado federal,1,224,30
1998,2,PDT,governador,1,12571,0
1998,2,PFL,governador,1,17468,0
1998,2,PPS,governador,1,459,0
1998,2,PRONA,governador,1,447,0
1998,2,PRTB,governador,1,34,0
1998,2,PSDB,governador,1,3743,0
1998,2,PSDC,governador,1,26,0
1998,2,PSL,governador,1,17,0
1998,2,PSN,governador,1,27,0
1998,2,PST,governador,1,35,0
1998,2,PSTU,governador,1,153,0
1998,2,PT do B,governador,1,47,0
1998,2,PV,governador,1,141,0
1998,2,PMN,presidente,1,57,0
1998,2,PPS,presidente,1,4364,0
1998,2,PRONA,presidente,1,1535,0
1998,2,PSC,presidente,1,35,0
1998,2,PSDB,presidente,1,14059,0
1998,2,PSDC,presidente,1,26,0
1998,2,PSN,presidente,1,38,0
1998,2,PSTU,presidente,1,47,0
1998,2,PT,presidente,1,15045,0
1998,2,PT do B,presidente,1,62,0
1998,2,PTN,presidente,1,155,0
1998,2,PV,presidente,1,51,0
1998,2,PAN,senador,1,31,0
1998,2,PMDB,senador,1,2685,0
1998,2,PPB,senador,1,14185,0
1998,2,PPS,senador,1,4029,0
1998,2,PRN,senador,1,47,0
1998,2,PRONA,senador,1,603,0
1998,2,PRP,senador,1,297,0
1998,2,PRTB,senador,1,112,0
1998,2,PSB,senador,1,10436,0
1998,2,PSC,senador,1,71,0
1998,2,PSDC,senador,1,31,0
1998,2,PSTU,senador,1,146,0
1998,2,PT do B,senador,1,189,0
1998,2,PTN,senador,1,58,0
1998,3,PAN,deputado estadual,1,1,11
1998,3,PC do B,deputado estadual,1,222,37
1998,3,PCB,deputado estadual,1,21,40
1998,3,PDT,deputado estadual,1,2317,652
1998,3,PFL,deputado estadual,1,4035,876
1998,3,PGT,deputado estadual,1,8,0
1998,3,PL,deputado estadual,1,383,61
1998,3,PMDB,deputado estadual,1,1006,97
1998,3,PMN,deputado estadual,1,129,8
1998,3,PPB,deputado estadual,1,1776,325
1998,3,PPS,deputado estadual,1,945,250
1998,3,PRN,deputado estadual,1,20,11
1998,3,PRONA,deputado estadual,1,230,201
1998,3,PRP,deputado estadual,1,159,15
1998,3,PRTB,deputado estadual,1,55,6
1998,3,PSB,deputado estadual,1,1221,139
1998,3,PSC,deputado estadual,1,471,26
1998,3,PSD,deputado estadual,1,217,19
1998,3,PSDB,deputado estadual,1,8194,1096
1998,3,PSDC,deputado estadual,1,82,10
1998,3,PSL,deputado estadual,1,18,22
1998,3,PSN,deputado estadual,1,15,12
1998,3,PST,deputado estadual,1,218,9
1998,3,PSTU,deputado estadual,1,95,64
1998,3,PT,deputado estadual,1,3946,1582
1998,3,PT do B,deputado estadual,1,241,15
1998,3,PTB,deputado estadual,1,370,51
1998,3,PTN,deputado estadual,1,123,12
1998,3,PV,deputado estadual,1,130,120
1998,3,PAN,deputado federal,1,6,7
1998,3,PC do B,deputado federal,1,1234,128
1998,3,PCB,deputado federal,1,59,22
1998,3,PDT,deputado federal,1,2909,501
1998,3,PFL,deputado federal,1,5319,541
1998,3,PL,deputado federal,1,569,72
1998,3,PMDB,deputado federal,1,336,77
1998,3,PMN,deputado federal,1,25,9
1998,3,PPB,deputado federal,1,4413,294
1998,3,PPS,deputado federal,1,1071,348
1998,3,PRN,deputado federal,1,24,5
1998,3,PRONA,deputado federal,1,66,198
1998,3,PRP,deputado federal,1,69,24
1998,3,PRTB,deputado federal,1,22,12
1998,3,PSB,deputado federal,1,1122,87
1998,3,PSC,deputado federal,1,197,30
1998,3,PSD,deputado federal,1,40,13
1998,3,PSDB,deputado federal,1,3518,1409
1998,3,PSDC,deputado federal,1,95,15
1998,3,PSL,deputado federal,1,296,29
1998,3,PSN,deputado federal,1,15,6
1998,3,PST,deputado federal,1,3,11
1998,3,PSTU,deputado federal,1,373,53
1998,3,PT,deputado federal,1,3152,1609
1998,3,PT do B,deputado federal,1,143,8
1998,3,PTB,deputado federal,1,550,58
1998,3,PTN,deputado federal,1,52,13
1998,3,PV,deputado federal,1,1046,109
1998,3,PDT,governador,1,9395,0
1998,3,PFL,governador,1,17612,0
1998,3,PPS,governador,1,650,0
1998,3,PRONA,governador,1,157,0
1998,3,PRTB,governador,1,28,0
1998,3,PSDB,governador,1,3598,0
1998,3,PSDC,governador,1,10,0
1998,3,PSL,governador,1,6,0
1998,3,PSN,governador,1,11,0
1998,3,PST,governador,1,13,0
1998,3,PSTU,governador,1,163,0
1998,3,PT do B,governador,1,19,0
1998,3,PV,governador,1,320,0
1998,3,PMN,presidente,1,77,0
1998,3,PPS,presidente,1,6018,0
1998,3,PRONA,presidente,1,601,0
1998,3,PSC,presidente,1,12,0
1998,3,PSDB,presidente,1,14373,0
1998,3,PSDC,presidente,1,17,0
1998,3,PSN,presidente,1,19,0
1998,3,PSTU,presidente,1,46,0
1998,3,PT,presidente,1,11148,0
1998,3,PT do B,presidente,1,15,0
1998,3,PTN,presidente,1,63,0
1998,3,PV,presidente,1,233,0
1998,3,PAN,senador,1,20,0
1998,3,PMDB,senador,1,1556,0
1998,3,PPB,senador,1,12245,0
1998,3,PPS,senador,1,7009,0
1998,3,PRN,senador,1,38,0
1998,3,PRONA,senador,1,252,0
1998,3,PRP,senador,1,34,0
1998,3,PRTB,senador,1,42,0
1998,3,PSB,senador,1,9327,0
1998,3,PSC,senador,1,31,0
1998,3,PSDC,senador,1,25,0
1998,3,PSTU,senador,1,75,0
1998,3,PT do B,senador,1,85,0
1998,3,PTN,senador,1,16,0
1998,4,PAN,deputado estadual,1,5,19
1998,4,PC do B,deputado estadual,1,261,34
1998,4,PCB,deputado estadual,1,60,25
1998,4,PDT,deputado estadual,1,2547,799
1998,4,PFL,deputado estadual,1,3499,994
1998,4,PGT,deputado estadual,1,9,2
1998,4,PL,deputado estadual,1,198,68
1998,4,PMDB,deputado estadual,1,1297,120
1998,4,PMN,deputado estadual,1,109,13
1998,4,PPB,deputado estadual,1,2617,409
1998,4,PPS,deputado estadual,1,1167,306
1998,4,PRN,deputado estadual,1,24,9
1998,4,PRONA,deputado estadual,1,284,200
1998,4,PRP,deputado estadual,1,141,21
1998,4,PRTB,deputado estadual,1,49,9
1998,4,PSB,deputado estadual,1,1282,154
1998,4,PSC,deputado estadual,1,480,22
1998,4,PSD,deputado estadual,1,161,24
1998,4,PSDB,deputado estadual,1,8607,1288
1998,4,PSDC,deputado estadual,1,84,15
1998,4,PSL,deputado estadual,1,26,17
1998,4,PSN,deputado estadual,1,16,22
1998,4,PST,deputado estadual,1,405,13
1998,4,PSTU,deputado estadual,1,84,65
1998,4,PT,deputado estadual,1,5861,1938
1998,4,PT do B,deputado estadual,1,300,26
1998,4,PTB,deputado estadual,1,653,90
1998,4,PTN,deputado estadual,1,136,11
1998,4,PV,deputado estadual,1,170,165
1998,4,PAN,deputado federal,1,7,7
1998,4,PC do B,deputado federal,1,1443,102
1998,4,PCB,deputado federal,1,117,29
1998,4,PDT,deputado federal,1,3283,605
1998,4,PFL,deputado federal,1,6213,626
1998,4,PGT,deputado federal,1,1,4
1998,4,PL,deputado federal,1,437,73
1998,4,PMDB,deputado federal,1,427,108
1998,4,PMN,deputado federal,1,18,16
1998,4,PPB,deputado federal,1,4307,338
1998,4,PPS,deputado federal,1,1209,396
1998,4,PRN,deputado federal,1,13,6
1998,4,PRONA,deputado federal,1,69,218
1998,4,PRP,deputado federal,1,108,23
1998,4,PRTB,deputado federal,1,13,13
1998,4,PSB,deputado federal,1,1361,114
1998,4,PSC,deputado federal,1,231,32
1998,4,PSD,deputado federal,1,42,27
1998,4,PSDB,deputado federal,1,3775,1607
1998,4,PSDC,deputado federal,1,118,9
1998,4,PSL,deputado federal,1,69,21
1998,4,PSN,deputado federal,1,33,15
1998,4,PST,deputado federal,1,1,33
1998,4,PSTU,deputado federal,1,342,72
1998,4,PT,deputado federal,1,4585,1900
1998,4,PT do B,deputado federal,1,207,15
1998,4,PTB,deputado federal,1,865,73
1998,4,PTN,deputado federal,1,48,21
1998,4,PV,deputado federal,1,1585,145
1998,4,PDT,governador,1,11811,0
1998,4,PFL,governador,1,18749,0
1998,4,PPS,governador,1,819,0
1998,4,PRONA,governador,1,176,0
1998,4,PRTB,governador,1,39,0
1998,4,PSDB,governador,1,4318,0
1998,4,PSDC,governador,1,18,0
1998,4,PSL,governador,1,13,0
1998,4,PSN,governador,1,20,0
1998,4,PST,governador,1,24,0
1998,4,PSTU,governador,1,187,0
1998,4,PT do B,governador,1,23,0
1998,4,PV,governador,1,471,0
1998,4,PMN,presidente,1,73,0
1998,4,PPS,presidente,1,6538,0
1998,4,PRONA,presidente,1,636,0
1998,4,PSC,presidente,1,13,0
1998,4,PSDB,presidente,1,15728,0
1998,4,PSDC,presidente,1,24,0
1998,4,PSN,presidente,1,24,0
1998,4,PSTU,presidente,1,37,0
1998,4,PT,presidente,1,14161,0
1998,4,PT do B,presidente,1,52,0
1998,4,PTN,presidente,1,62,0
1998,4,PV,presidente,1,293,0
1998,4,PAN,senador,1,19,0
1998,4,PMDB,senador,1,1901,0
1998,4,PPB,senador,1,12931,0
1998,4,PPS,senador,1,7635,0
1998,4,PRN,senador,1,44,0
1998,4,PRONA,senador,1,289,0
1998,4,PRP,senador,1,35,0
1998,4,PRTB,senador,1,48,0
1998,4,PSB,senador,1,12025,0
1998,4,PSC,senador,1,44,0
1998,4,PSDC,senador,1,33,0
1998,4,PSTU,senador,1,86,0
1998,4,PT do B,senador,1,97,0
1998,4,PTN,senador,1,29,0
1998,5,PAN,deputado estadual,1,11,14
1998,5,PC do B,deputado estadual,1,171,41
1998,5,PCB,deputado estadual,1,21,22
1998,5,PDT,deputado estadual,1,1932,619
1998,5,PFL,deputado estadual,1,3802,809
1998,5,PGT,deputado estadual,1,1,1
1998,5,PL,deputado estadual,1,169,39
1998,5,PMDB,deputado estadual,1,873,90
1998,5,PMN,deputado estadual,1,95,17
1998,5,PPB,deputado estadual,1,1878,341
1998,5,PPS,deputado estadual,1,689,190
1998,5,PRN,deputado estadual,1,9,14
1998,5,PRONA,deputado estadual,1,216,177
1998,5,PRP,deputado estadual,1,123,21
1998,5,PRTB,deputado estadual,1,64,7
1998,5,PSB,deputado estadual,1,782,96
1998,5,PSC,deputado estadual,1,407,35
1998,5,PSD,deputado estadual,1,201,18
1998,5,PSDB,deputado estadual,1,7117,1019
1998,5,PSDC,deputado estadual,1,71,10
1998,5,PSL,deputado estadual,1,14,10
1998,5,PSN,deputado estadual,1,13,8
1998,5,PST,deputado estadual,1,183,8
1998,5,PSTU,deputado estadual,1,77,56
1998,5,PT,deputado estadual,1,2813,1148
1998,5,PT do B,deputado estadual,1,259,15
1998,5,PTB,deputado estadual,1,568,51
1998,5,PTN,deputado estadual,1,88,6
1998,5,PV,deputado estadual,1,115,102
1998,5,PAN,deputado federal,1,11,5
1998,5,PC do B,deputado federal,1,1105,99
1998,5,PCB,deputado federal,1,40,13
1998,5,PDT,deputado federal,1,2320,445
1998,5,PFL,deputado federal,1,5060,519
1998,5,PGT,deputado federal,1,1,1
1998,5,PL,deputado federal,1,367,62
1998,5,PMDB,deputado federal,1,288,76
1998,5,PMN,deputado federal,1,26,18
1998,5,PPB,deputado federal,1,4108,308
1998,5,PPS,deputado federal,1,666,289
1998,5,PRN,deputado federal,1,11,7
1998,5,PRONA,deputado federal,1,61,181
1998,5,PRP,deputado federal,1,68,15
1998,5,PRTB,deputado federal,1,22,12
1998,5,PSB,deputado federal,1,847,80
1998,5,PSC,deputado federal,1,174,31
1998,5,PSD,deputado federal,1,30,25
1998,5,PSDB,deputado federal,1,3171,1304
1998,5,PSDC,deputado federal,1,71,16
1998,5,PSL,deputado federal,1,41,7
1998,5,PSN,deputado federal,1,16,8
1998,5,PST,deputado federal,1,3,6
1998,5,PSTU,deputado federal,1,411,53
1998,5,PT,deputado federal,1,2224,1227
1998,5,PT do B,deputado federal,1,173,11
1998,5,PTB,deputado federal,1,422,43
1998,5,PTN,deputado federal,1,35,17
1998,5,PV,deputado federal,1,983,74
1998,5,PDT,governador,1,7599,0
1998,5,PFL,governador,1,15197,0
1998,5,PPS,governador,1,505,0
1998,5,PRONA,governador,1,157,0
1998,5,PRTB,governador,1,38,0
1998,5,PSDB,governador,1,3318,0
1998,5,PSDC,governador,1,12,0
1998,5,PSL,governador,1,5,0
1998,5,PSN,governador,1,11,0
1998,5,PST,governador,1,15,0
1998,5,PSTU,governador,1,122,0
1998,5,PT do B,governador,1,14,0
1998,5,PV,governador,1,279,0
1998,5,PMN,presidente,1,92,0
1998,5,PPS,presidente,1,4998,0
1998,5,PRONA,presidente,1,533,0
1998,5,PSC,presidente,1,14,0
1998,5,PSDB,presidente,1,13119,0
1998,5,PSDC,presidente,1,16,0
1998,5,PSN,presidente,1,16,0
1998,5,PSTU,presidente,1,32,0
1998,5,PT,presidente,1,8662,0
1998,5,PT do B,presidente,1,25,0
1998,5,PTN,presidente,1,68,0
1998,5,PV,presidente,1,149,0
1998,5,PAN,senador,1,14,0
1998,5,PMDB,senador,1,1548,0
1998,5,PPB,senador,1,11393,0
1998,5,PPS,senador,1,5480,0
1998,5,PRN,senador,1,50,0
1998,5,PRONA,senador,1,215,0
1998,5,PRP,senador,1,21,0
1998,5,PRTB,senador,1,29,0
1998,5,PSB,senador,1,7003,0
1998,5,PSC,senador,1,34,0
1998,5,PSDC,senador,1,41,0
1998,5,PSTU,senador,1,68,0
1998,5,PT do B,senador,1,72,0
1998,5,PTN,senador,1,15,0
1998,6,PAN,deputado estadual,1,4,9
1998,6,PC do B,deputado estadual,1,224,30
1998,6,PCB,deputado estadual,1,14,38
1998,6,PDT,deputado estadual,1,1669,706
1998,6,PFL,deputado estadual,1,3590,732
1998,6,PGT,deputado estadual,1,11,0
1998,6,PL,deputado estadual,1,236,43
1998,6,PMDB,deputado estadual,1,1210,93
1998,6,PMN,deputado estadual,1,121,10
1998,6,PPB,deputado estadual,1,1401,310
1998,6,PPS,deputado estadual,1,407,204
1998,6,PRN,deputado estadual,1,13,6
1998,6,PRONA,deputado estadual,1,230,235
1998,6,PRP,deputado estadual,1,155,24
1998,6,PRTB,deputado estadual,1,59,9
1998,6,PSB,deputado estadual,1,1303,118
1998,6,PSC,deputado estadual,1,492,36
1998,6,PSD,deputado estadual,1,265,39
1998,6,PSDB,deputado estadual,1,5848,988
1998,6,PSDC,deputado estadual,1,143,13
1998,6,PSL,deputado estadual,1,8,9
1998,6,PSN,deputado estadual,1,10,6
1998,6,PST,deputado estadual,1,335,15
1998,6,PSTU,deputado estadual,1,97,57
1998,6,PT,deputado estadual,1,2765,1507
1998,6,PT do B,deputado estadual,1,286,21
1998,6,PTB,deputado estadual,1,365,55
1998,6,PTN,deputado estadual,1,119,15
1998,6,PV,deputado estadual,1,70,72
1998,6,PAN,deputado federal,1,1,5
1998,6,PC do B,deputado federal,1,1010,114
1998,6,PCB,deputado federal,1,48,21
1998,6,PDT,deputado federal,1,2924,555
1998,6,PFL,deputado federal,1,3976,561
1998,6,PGT,deputado federal,1,0,5
1998,6,PL,deputado federal,1,504,57
1998,6,PMDB,deputado federal,1,319,81
1998,6,PMN,deputado federal,1,29,12
1998,6,PPB,deputado federal,1,3811,246
1998,6,PPS,deputado federal,1,563,269
1998,6,PRN,deputado federal,1,7,5
1998,6,PRONA,deputado federal,1,62,242
1998,6,PRP,deputado federal,1,110,19
1998,6,PRTB,deputado federal,1,32,16
1998,6,PSB,deputado federal,1,737,108
1998,6,PSC,deputado federal,1,207,27
1998,6,PSD,deputado federal,1,26,31
1998,6,PSDB,deputado federal,1,2802,1177
1998,6,PSDC,deputado federal,1,84,20
1998,6,PSL,deputado federal,1,37,9
1998,6,PSN,deputado federal,1,20,7
1998,6,PST,deputado federal,1,3,16
1998,6,PSTU,deputado federal,1,352,61
1998,6,PT,deputado federal,1,2455,1621
1998,6,PT do B,deputado federal,1,214,21
1998,6,PTB,deputado federal,1,417,45
1998,6,PTN,deputado federal,1,43,26
1998,6,PV,deputado federal,1,460,66
1998,6,PDT,governador,1,8811,0
1998,6,PFL,governador,1,13360,0
1998,6,PPS,governador,1,491,0
1998,6,PRONA,governador,1,208,0
1998,6,PRTB,governador,1,22,0
1998,6,PSDB,governador,1,2905,0
1998,6,PSDC,governador,1,13,0
1998,6,PSL,governador,1,11,0
1998,6,PSN,governador,1,13,0
1998,6,PST,governador,1,7,0
1998,6,PSTU,governador,1,150,0
1998,6,PT do B,governador,1,15,0
1998,6,PV,governador,1,172,0
1998,6,PMN,presidente,1,81,0
1998,6,PPS,presidente,1,4541,0
1998,6,PRONA,presidente,1,723,0
1998,6,PSC,presidente,1,17,0
1998,6,PSDB,presidente,1,10477,0
1998,6,PSDC,presidente,1,19,0
1998,6,PSN,presidente,1,23,0
1998,6,PSTU,presidente,1,36,0
1998,6,PT,presidente,1,10661,0
1998,6,PT do B,presidente,1,33,0
1998,6,PTN,presidente,1,80,0
1998,6,PV,presidente,1,109,0
1998,6,PAN,senador,1,23,0
1998,6,PMDB,senador,1,1471,0
1998,6,PPB,senador,1,9261,0
1998,6,PPS,senador,1,5130,0
1998,6,PRN,senador,1,27,0
1998,6,PRONA,senador,1,326,0
1998,6,PRP,senador,1,46,0
1998,6,PRTB,senador,1,39,0
1998,6,PSB,senador,1,8134,0
1998,6,PSC,senador,1,31,0
1998,6,PSDC,senador,1,32,0
1998,6,PSTU,senador,1,88,0
1998,6,PT do B,senador,1,129,0
1998,6,PTN,senador,1,22,0
1998,7,PAN,deputado estadual,1,9,19
1998,7,PC do B,deputado estadual,1,417,66
1998,7,PCB,deputado estadual,1,19,36
1998,7,PDT,deputado estadual,1,2982,960
1998,7,PFL,deputado estadual,1,9817,1304
1998,7,PGT,deputado estadual,1,19,2
1998,7,PL,deputado estadual,1,553,80
1998,7,PMDB,deputado estadual,1,1913,148
1998,7,PMN,deputado estadual,1,149,16
1998,7,PPB,deputado estadual,1,2908,537
1998,7,PPS,deputado estadual,1,874,328
1998,7,PRN,deputado estadual,1,31,18
1998,7,PRONA,deputado estadual,1,415,355
1998,7,PRP,deputado estadual,1,258,38
1998,7,PRTB,deputado estadual,1,80,10
1998,7,PSB,deputado estadual,1,2767,191
1998,7,PSC,deputado estadual,1,810,53
1998,7,PSD,deputado estadual,1,348,50
1998,7,PSDB,deputado estadual,1,11762,1671
1998,7,PSDC,deputado estadual,1,164,28
1998,7,PSL,deputado estadual,1,30,20
1998,7,PSN,deputado estadual,1,13,14
1998,7,PST,deputado estadual,1,527,21
1998,7,PSTU,deputado estadual,1,207,96
1998,7,PT,deputado estadual,1,6182,2606
1998,7,PT do B,deputado estadual,1,512,34
1998,7,PTB,deputado estadual,1,795,99
1998,7,PTN,deputado estadual,1,302,21
1998,7,PV,deputado estadual,1,138,176
1998,7,PAN,deputado federal,1,15,13
1998,7,PC do B,deputado federal,1,2021,181
1998,7,PCB,deputado federal,1,71,28
1998,7,PDT,deputado federal,1,4439,763
1998,7,PFL,deputado federal,1,8913,945
1998,7,PGT,deputado federal,1,0,5
1998,7,PL,deputado federal,1,1216,107
1998,7,PMDB,deputado federal,1,645,126
1998,7,PMN,deputado federal,1,32,23
1998,7,PPB,deputado federal,1,8342,575
1998,7,PPS,deputado federal,1,1351,419
1998,7,PRN,deputado federal,1,23,12
1998,7,PRONA,deputado federal,1,94,395
1998,7,PRP,deputado federal,1,185,48
1998,7,PRTB,deputado federal,1,25,22
1998,7,PSB,deputado federal,1,1860,152
1998,7,PSC,deputado federal,1,376,48
1998,7,PSD,deputado federal,1,68,28
1998,7,PSDB,deputado federal,1,5460,2072
1998,7,PSDC,deputado federal,1,190,27
1998,7,PSL,deputado federal,1,62,22
1998,7,PSN,deputado federal,1,56,22
1998,7,PST,deputado federal,1,6,23
1998,7,PSTU,deputado federal,1,668,90
1998,7,PT,deputado federal,1,5499,2789
1998,7,PT do B,deputado federal,1,413,22
1998,7,PTB,deputado federal,1,891,70
1998,7,PTN,deputado federal,1,97,45
1998,7,PV,deputado federal,1,1167,145
1998,7,PDT,governador,1,14993,0
1998,7,PFL,governador,1,30754,0
1998,7,PPS,governador,1,983,0
1998,7,PRONA,governador,1,281,0
1998,7,PRTB,governador,1,39,0
1998,7,PSDB,governador,1,5302,0
1998,7,PSDC,governador,1,25,0
1998,7,PSL,governador,1,9,0
1998,7,PSN,governador,1,23,0
1998,7,PST,governador,1,21,0
1998,7,PSTU,governador,1,323,0
1998,7,PT do B,governador,1,25,0
1998,7,PV,governador,1,473,0
1998,7,PMN,presidente,1,181,0
1998,7,PPS,presidente,1,9874,0
1998,7,PRONA,presidente,1,1261,0
1998,7,PSC,presidente,1,27,0
1998,7,PSDB,presidente,1,23219,0
1998,7,PSDC,presidente,1,31,0
1998,7,PSN,presidente,1,51,0
1998,7,PSTU,presidente,1,65,0
1998,7,PT,presidente,1,18975,0
1998,7,PT do B,presidente,1,46,0
1998,7,PTN,presidente,1,139,0
1998,7,PV,presidente,1,282,0
1998,7,PAN,senador,1,23,0
1998,7,PMDB,senador,1,2427,0
1998,7,PPB,senador,1,21280,0
1998,7,PPS,senador,1,11149,0
1998,7,PRN,senador,1,68,0
1998,7,PRONA,senador,1,444,0
1998,7,PRP,senador,1,47,0
