,ano,sigla_partido,bairro,n_filiados
197,1998,DC,Padre Miguel,26
198,1998,DC,Parque Anchieta,5
199,1998,DC,Parque Colúmbia,2
200,1998,DC,Pavuna,5
201,1998,DC,Pechincha,7
202,1998,DC,Penha,5
203,1998,DC,Penha Circular,1
204,1998,DC,Piedade,7
205,1998,DC,Pilares,2
206,1998,DC,Praça Seca,8
207,1998,DC,Praça da Bandeira,2
208,1998,DC,Quintino Bocaiúva,15
209,1998,DC,Ramos,3
210,1998,DC,Realengo,60
211,1998,DC,Recreio dos Bandeirantes,4
212,1998,DC,Ribeira,4
213,1998,DC,Ricardo de Albuquerque,1
214,1998,DC,Rio Comprido,4
215,1998,DC,Rocha Miranda,2
216,1998,DC,Santa Cruz,36
217,1998,DC,Santa Teresa,2
218,1998,DC,Santo Cristo,1
219,1998,DC,Senador Camará,37
220,1998,DC,Senador Vasconcelos,10
221,1998,DC,Sepetiba,4
222,1998,DC,São Cristóvão,6
223,1998,DC,Tanque,12
224,1998,DC,Taquara,12
225,1998,DC,Tauá,1
226,1998,DC,Tijuca,6
227,1998,DC,Todos os Santos,1
228,1998,DC,Vasco da Gama,1
229,1998,DC,Vaz Lobo,1
230,1998,DC,Vicente de Carvalho,2
231,1998,DC,Vigário Geral,1
232,1998,DC,Vila Isabel,6
233,1998,DC,Vila Kosmos,9
234,1998,DC,Vila Valqueire,2
235,1998,DC,Vila da Penha,4
236,1998,DC,Zumbi,1
237,1998,DC,nao informado,22
238,1998,DEM,Abolição,2
239,1998,DEM,Acari,9
240,1998,DEM,Alto da Boa Vista,11
241,1998,DEM,Anchieta,37
242,1998,DEM,Andaraí,33
243,1998,DEM,Anil,15
244,1998,DEM,Bancários,8
245,1998,DEM,Bangu,223
246,1998,DEM,Barra da Tijuca,100
247,1998,DEM,Barra de Guaratiba,3
248,1998,DEM,Benfica,17
249,1998,DEM,Bento Ribeiro,67
250,1998,DEM,Bonsucesso,41
251,1998,DEM,Botafogo,42
252,1998,DEM,Brás de Pina,12
253,1998,DEM,Cachambi,12
254,1998,DEM,Cacuia,15
255,1998,DEM,Caju,11
256,1998,DEM,Campinho,9
257,1998,DEM,Campo Grande,475
258,1998,DEM,Campo dos Afonsos,3
259,1998,DEM,Cascadura,10
260,1998,DEM,Catete,2
261,1998,DEM,Cavalcanti,14
262,1998,DEM,Centro,25
263,1998,DEM,Cidade Nova,3
264,1998,DEM,Cidade de Deus,30
265,1998,DEM,Cocotá,37
266,1998,DEM,Coelho Neto,24
267,1998,DEM,Colégio,22
268,1998,DEM,Complexo do Alemão,16
269,1998,DEM,Copacabana,101
270,1998,DEM,Cordovil,14
271,1998,DEM,Cosme Velho,2
272,1998,DEM,Cosmos,49
273,1998,DEM,Costa Barros,6
274,1998,DEM,Curicica,23
275,1998,DEM,Del Castilho,7
276,1998,DEM,Deodoro,56
277,1998,DEM,Encantado,11
278,1998,DEM,Engenheiro Leal,6
279,1998,DEM,Engenho Novo,16
280,1998,DEM,Engenho da Rainha,6
281,1998,DEM,Engenho de Dentro,31
282,1998,DEM,Estácio,1
283,1998,DEM,Flamengo,29
284,1998,DEM,Freguesia (Ilha),14
285,1998,DEM,Freguesia (Jacarepaguá),53
286,1998,DEM,Galeão,27
287,1998,DEM,Gamboa,10
288,1998,DEM,Gardênia Azul,4
289,1998,DEM,Glória,16
290,1998,DEM,Grajaú,33
291,1998,DEM,Guadalupe,192
292,1998,DEM,Guaratiba,43
293,1998,DEM,Gávea,7
294,1998,DEM,Higienópolis,10
295,1998,DEM,Honório Gurgel,22
296,1998,DEM,Humaitá,2
297,1998,DEM,Inhaúma,25
298,1998,DEM,Inhoaíba,53
299,1998,DEM,Ipanema,26
300,1998,DEM,Irajá,116
301,1998,DEM,Itanhangá,22
302,1998,DEM,Jacarepaguá,36
303,1998,DEM,Jacarezinho,2
304,1998,DEM,Jacaré,3
305,1998,DEM,Jardim América,28
306,1998,DEM,Jardim Botânico,8
307,1998,DEM,Jardim Carioca,102
308,1998,DEM,Jardim Guanabara,35
309,1998,DEM,Jardim Sulacap,2
310,1998,DEM,Lagoa,26
311,1998,DEM,Lapa,9
312,1998,DEM,Laranjeiras,25
313,1998,DEM,Leblon,30
314,1998,DEM,Leme,4
315,1998,DEM,Lins de Vasconcelos,17
316,1998,DEM,Madureira,12
317,1998,DEM,Magalhães Bastos,37
318,1998,DEM,Manguinhos,2
319,1998,DEM,Maracanã,12
320,1998,DEM,Marechal Hermes,63
321,1998,DEM,Maria da Graça,2
322,1998,DEM,Maré,21
323,1998,DEM,Moneró,7
324,1998,DEM,Méier,38
325,1998,DEM,Olaria,19
326,1998,DEM,Osvaldo Cruz,13
327,1998,DEM,Paciência,164
328,1998,DEM,Padre Miguel,70
329,1998,DEM,Paquetá,39
330,1998,DEM,Parada de Lucas,4
331,1998,DEM,Parque Anchieta,39
332,1998,DEM,Parque Colúmbia,7
333,1998,DEM,Pavuna,56
334,1998,DEM,Pechincha,44
335,1998,DEM,Pedra de Guaratiba,14
336,1998,DEM,Penha,22
337,1998,DEM,Penha Circular,22
338,1998,DEM,Piedade,143
339,1998,DEM,Pilares,28
340,1998,DEM,Portuguesa,21
341,1998,DEM,Praia da Bandeira,14
342,1998,DEM,Praça Seca,20
343,1998,DEM,Praça da Bandeira,3
344,1998,DEM,Quintino Bocaiúva,29
345,1998,DEM,Ramos,80
346,1998,DEM,Realengo,398
347,1998,DEM,Recreio dos Bandeirantes,32
348,1998,DEM,Riachuelo,1
349,1998,DEM,Ribeira,147
350,1998,DEM,Ricardo de Albuquerque,11
351,1998,DEM,Rio Comprido,33
352,1998,DEM,Rocha,10
353,1998,DEM,Rocha Miranda,85
354,1998,DEM,Rocinha,3
355,1998,DEM,Santa Cruz,221
356,1998,DEM,Santa Teresa,10
357,1998,DEM,Santo Cristo,7
358,1998,DEM,Santíssimo,25
359,1998,DEM,Saúde,2
360,1998,DEM,Senador Camará,70
361,1998,DEM,Senador Vasconcelos,27
362,1998,DEM,Sepetiba,51
363,1998,DEM,São Conrado,20
364,1998,DEM,São Cristóvão,14
365,1998,DEM,São Francisco Xavier,4
366,1998,DEM,Tanque,16
367,1998,DEM,Taquara,46
368,1998,DEM,Tauá,14
369,1998,DEM,Tijuca,112
370,1998,DEM,Todos os Santos,11
371,1998,DEM,Tomás Coelho,3
372,1998,DEM,Turiaçú,1
373,1998,DEM,Urca,8
374,1998,DEM,Vargem Grande,4
375,1998,DEM,Vargem Pequena,4
376,1998,DEM,Vasco da Gama,7
377,1998,DEM,Vaz Lobo,9
378,1998,DEM,Vidigal,3
379,1998,DEM,Vigário Geral,6
380,1998,DEM,Vila Isabel,59
381,1998,DEM,Vila Kosmos,14
382,1998,DEM,Vila Militar,10
383,1998,DEM,Vila Valqueire,18
384,1998,DEM,Vila da Penha,10
385,1998,DEM,Zumbi,41
386,1998,DEM,nao informado,316
387,1998,DEM,Água Santa,2
388,1998,MDB,Abolição,11
389,1998,MDB,Acari,78
390,1998,MDB,Alto da Boa Vista,187
391,1998,MDB,Anchieta,160
392,1998,MDB,Andaraí,442
393,1998,MDB,Anil,84
394,1998,MDB,Bancários,151
395,1998,MDB,Bangu,1977
396,1998,MDB,Barra da Tijuca,430
397,1998,MDB,Barra de Guaratiba,10
398,1998,MDB,Barros Filho,45
399,1998,MDB,Benfica,215
400,1998,MDB,Bento Ribeiro,402
401,1998,MDB,Bonsucesso,210
402,1998,MDB,Botafogo,562
403,1998,MDB,Brás de Pina,179
404,1998,MDB,Cachambi,197
405,1998,MDB,Cacuia,47
406,1998,MDB,Caju,57
407,1998,MDB,Campinho,56
408,1998,MDB,Campo Grande,1024
409,1998,MDB,Campo dos Afonsos,6
410,1998,MDB,Cascadura,204
411,1998,MDB,Catete,34
412,1998,MDB,Cavalcanti,319
413,1998,MDB,Centro,260
414,1998,MDB,Cidade Nova,77
415,1998,MDB,Cidade Universitária,4
416,1998,MDB,Cidade de Deus,183
417,1998,MDB,Cocotá,155
418,1998,MDB,Coelho Neto,156
419,1998,MDB,Colégio,108
420,1998,MDB,Complexo do Alemão,103
421,1998,MDB,Copacabana,1131
422,1998,MDB,Cordovil,292
423,1998,MDB,Cosme Velho,104
424,1998,MDB,Cosmos,238
425,1998,MDB,Costa Barros,73
426,1998,MDB,Curicica,133
427,1998,MDB,Del Castilho,197
428,1998,MDB,Deodoro,247
429,1998,MDB,Encantado,115
430,1998,MDB,Engenheiro Leal,57
431,1998,MDB,Engenho Novo,326
432,1998,MDB,Engenho da Rainha,114
433,1998,MDB,Engenho de Dentro,597
434,1998,MDB,Flamengo,134
435,1998,MDB,Freguesia (Ilha),197
436,1998,MDB,Freguesia (Jacarepaguá),241
437,1998,MDB,Galeão,222
438,1998,MDB,Gamboa,52
439,1998,MDB,Gardênia Azul,15
440,1998,MDB,Gericinó,14
441,1998,MDB,Glória,59
442,1998,MDB,Grajaú,390
443,1998,MDB,Guadalupe,316
444,1998,MDB,Guaratiba,132
445,1998,MDB,Gávea,310
446,1998,MDB,Higienópolis,132
447,1998,MDB,Honório Gurgel,73
448,1998,MDB,Humaitá,70
449,1998,MDB,Inhaúma,322
450,1998,MDB,Inhoaíba,145
451,1998,MDB,Ipanema,195
452,1998,MDB,Irajá,742
453,1998,MDB,Itanhangá,53
454,1998,MDB,Jacarepaguá,163
455,1998,MDB,Jacarezinho,75
456,1998,MDB,Jacaré,235
457,1998,MDB,Jardim América,396
458,1998,MDB,Jardim Botânico,346
459,1998,MDB,Jardim Carioca,287
460,1998,MDB,Jardim Guanabara,234
461,1998,MDB,Jardim Sulacap,54
462,1998,MDB,Lagoa,166
463,1998,MDB,Lapa,33
464,1998,MDB,Laranjeiras,451
465,1998,MDB,Leblon,298
466,1998,MDB,Leme,53
467,1998,MDB,Lins de Vasconcelos,141
468,1998,MDB,Madureira,636
469,1998,MDB,Magalhães Bastos,240
470,1998,MDB,Manguinhos,16
471,1998,MDB,Maracanã,162
472,1998,MDB,Marechal Hermes,492
473,1998,MDB,Maria da Graça,109
474,1998,MDB,Maré,214
475,1998,MDB,Moneró,176
476,1998,MDB,Méier,637
477,1998,MDB,Olaria,372
478,1998,MDB,Osvaldo Cruz,373
479,1998,MDB,Paciência,295
480,1998,MDB,Padre Miguel,587
481,1998,MDB,Paquetá,74
482,1998,MDB,Parada de Lucas,29
483,1998,MDB,Parque Anchieta,124
484,1998,MDB,Parque Colúmbia,79
485,1998,MDB,Pavuna,269
486,1998,MDB,Pechincha,212
487,1998,MDB,Pedra de Guaratiba,42
488,1998,MDB,Penha,235
489,1998,MDB,Penha Circular,212
490,1998,MDB,Piedade,516
491,1998,MDB,Pilares,158
492,1998,MDB,Portuguesa,290
493,1998,MDB,Praia da Bandeira,75
494,1998,MDB,Praça Seca,477
495,1998,MDB,Praça da Bandeira,81
496,1998,MDB,Quintino Bocaiúva,1099
497,1998,MDB,Ramos,366
498,1998,MDB,Realengo,1433
499,1998,MDB,Recreio dos Bandeirantes,239
500,1998,MDB,Riachuelo,243
501,1998,MDB,Ribeira,289
502,1998,MDB,Ricardo de Albuquerque,117
503,1998,MDB,Rio Comprido,497
504,1998,MDB,Rocha,176
505,1998,MDB,Rocha Miranda,619
506,1998,MDB,Rocinha,161
507,1998,MDB,Santa Cruz,1018
508,1998,MDB,Santa Teresa,359
509,1998,MDB,Santo Cristo,198
510,1998,MDB,Santíssimo,96
511,1998,MDB,Saúde,116
512,1998,MDB,Senador Camará,420
513,1998,MDB,Senador Vasconcelos,100
514,1998,MDB,Sepetiba,284
515,1998,MDB,São Conrado,378
516,1998,MDB,São Cristóvão,40
517,1998,MDB,São Francisco Xavier,27
518,1998,MDB,Tanque,349
519,1998,MDB,Taquara,728
520,1998,MDB,Tauá,258
521,1998,MDB,Tijuca,1158
522,1998,MDB,Todos os Santos,326
523,1998,MDB,Tomás Coelho,64
524,1998,MDB,Turiaçú,146
525,1998,MDB,Urca,68
526,1998,MDB,Vargem Grande,46
527,1998,MDB,Vargem Pequena,34
528,1998,MDB,Vasco da Gama,109
529,1998,MDB,Vaz Lobo,154
530,1998,MDB,Vicente de Carvalho,15
531,1998,MDB,Vidigal,144
532,1998,MDB,Vigário Geral,236
533,1998,MDB,Vila Isabel,525
534,1998,MDB,Vila Kosmos,54
535,1998,MDB,Vila Militar,60
536,1998,MDB,Vila Valqueire,206
537,1998,MDB,Vila da Penha,43
538,1998,MDB,Zumbi,73
539,1998,MDB,nao informado,6522
540,1998,MDB,Água Santa,39
541,1998,NOVO,Andaraí,6
542,1998,NOVO,Anil,4
543,1998,NOVO,Bangu,12
544,1998,NOVO,Barra da Tijuca,109
545,1998,NOVO,Benfica,1
546,1998,NOVO,Bento Ribeiro,2
547,1998,NOVO,Bonsucesso,2
548,1998,NOVO,Botafogo,35
549,1998,NOVO,Cachambi,6
550,1998,NOVO,Cacuia,1
551,1998,NOVO,Campinho,1
552,1998,NOVO,Campo Grande,19
553,1998,NOVO,Campo dos Afonsos,2
554,1998,NOVO,Cascadura,2
555,1998,NOVO,Catete,3
556,1998,NOVO,Cavalcanti,1
557,1998,NOVO,Centro,3
558,1998,NOVO,Cidade Universitária,1
559,1998,NOVO,Coelho Neto,2
560,1998,NOVO,Copacabana,83
561,1998,NOVO,Cosme Velho,7
562,1998,NOVO,Cosmos,3
563,1998,NOVO,Del Castilho,2
564,1998,NOVO,Deodoro,1
565,1998,NOVO,Encantado,1
566,1998,NOVO,Engenheiro Leal,1
567,1998,NOVO,Engenho Novo,9
568,1998,NOVO,Engenho da Rainha,2
569,1998,NOVO,Engenho de Dentro,4
570,1998,NOVO,Flamengo,30
571,1998,NOVO,Freguesia (Ilha),1
572,1998,NOVO,Freguesia (Jacarepaguá),24
573,1998,NOVO,Galeão,5
574,1998,NOVO,Glória,6
575,1998,NOVO,Grajaú,12
576,1998,NOVO,Guadalupe,2
577,1998,NOVO,Guaratiba,2
578,1998,NOVO,Gávea,15
579,1998,NOVO,Higienópolis,1
580,1998,NOVO,Honório Gurgel,2
581,1998,NOVO,Humaitá,14
582,1998,NOVO,Inhoaíba,2
583,1998,NOVO,Ipanema,36
584,1998,NOVO,Irajá,6
585,1998,NOVO,Itanhangá,4
586,1998,NOVO,Jacarepaguá,13
587,1998,NOVO,Jacaré,1
588,1998,NOVO,Jardim América,2
589,1998,NOVO,Jardim Botânico,15
590,1998,NOVO,Jardim Guanabara,11
591,1998,NOVO,Jardim Sulacap,1
592,1998,NOVO,Lagoa,36
593,1998,NOVO,Lapa,1
594,1998,NOVO,Laranjeiras,30
595,1998,NOVO,Leblon,48
596,1998,NOVO,Leme,1
597,1998,NOVO,Lins de Vasconcelos,2
598,1998,NOVO,Madureira,9
599,1998,NOVO,Maracanã,11
600,1998,NOVO,Marechal Hermes,6
601,1998,NOVO,Méier,24
602,1998,NOVO,Olaria,3
603,1998,NOVO,Osvaldo Cruz,2
604,1998,NOVO,Paciência,1
605,1998,NOVO,Padre Miguel,2
606,1998,NOVO,Parada de Lucas,1
607,1998,NOVO,Parque Anchieta,5
608,1998,NOVO,Parque Colúmbia,1
609,1998,NOVO,Pavuna,3
610,1998,NOVO,Pechincha,2
611,1998,NOVO,Pedra de Guaratiba,1
612,1998,NOVO,Penha,5
613,1998,NOVO,Penha Circular,5
614,1998,NOVO,Piedade,5
615,1998,NOVO,Pilares,4
616,1998,NOVO,Portuguesa,9
617,1998,NOVO,Praia da Bandeira,3
618,1998,NOVO,Praça Seca,4
619,1998,NOVO,Praça da Bandeira,2
620,1998,NOVO,Ramos,3
621,1998,NOVO,Realengo,8
622,1998,NOVO,Recreio dos Bandeirantes,43
623,1998,NOVO,Riachuelo,4
624,1998,NOVO,Ribeira,1
625,1998,NOVO,Ricardo de Albuquerque,1
626,1998,NOVO,Rio Comprido,6
627,1998,NOVO,Rocha,1
628,1998,NOVO,Rocha Miranda,4
629,1998,NOVO,Rocinha,2
630,1998,NOVO,Santa Cruz,15
631,1998,NOVO,Santa Teresa,5
632,1998,NOVO,Senador Camará,4
633,1998,NOVO,Senador Vasconcelos,2
634,1998,NOVO,São Conrado,17
635,1998,NOVO,São Cristóvão,1
636,1998,NOVO,São Francisco Xavier,1
637,1998,NOVO,Tanque,4
638,1998,NOVO,Taquara,10
639,1998,NOVO,Tauá,1
640,1998,NOVO,Tijuca,72
641,1998,NOVO,Todos os Santos,4
642,1998,NOVO,Tomás Coelho,1
643,1998,NOVO,Urca,13
644,1998,NOVO,Vaz Lobo,1
645,1998,NOVO,Vila Isabel,17
646,1998,NOVO,Vila Kosmos,1
647,1998,NOVO,Vila Valqueire,5
648,1998,NOVO,Vila da Penha,3
649,1998,NOVO,nao informado,80
650,1998,NOVO,Água Santa,1
651,1998,PATRIOTA,Alto da Boa Vista,1
652,1998,PATRIOTA,Anchieta,27
653,1998,PATRIOTA,Andaraí,4
654,1998,PATRIOTA,Anil,4
655,1998,PATRIOTA,Bancários,34
656,1998,PATRIOTA,Bangu,58
657,1998,PATRIOTA,Barra da Tijuca,12
658,1998,PATRIOTA,Barra de Guaratiba,1
659,1998,PATRIOTA,Benfica,11
660,1998,PATRIOTA,Bento Ribeiro,6
661,1998,PATRIOTA,Bonsucesso,3
662,1998,PATRIOTA,Botafogo,13
663,1998,PATRIOTA,Brás de Pina,3
664,1998,PATRIOTA,Cachambi,33
665,1998,PATRIOTA,Cacuia,1
666,1998,PATRIOTA,Caju,3
667,1998,PATRIOTA,Campinho,2
668,1998,PATRIOTA,Campo Grande,23
669,1998,PATRIOTA,Cascadura,2
670,1998,PATRIOTA,Catete,1
671,1998,PATRIOTA,Cavalcanti,1
672,1998,PATRIOTA,Centro,8
673,1998,PATRIOTA,Cidade Nova,1
674,1998,PATRIOTA,Cidade de Deus,3
675,1998,PATRIOTA,Cocotá,20
676,1998,PATRIOTA,Coelho Neto,1
677,1998,PATRIOTA,Colégio,5
678,1998,PATRIOTA,Complexo do Alemão,1
679,1998,PATRIOTA,Copacabana,22
680,1998,PATRIOTA,Cordovil,4
681,1998,PATRIOTA,Cosme Velho,1
682,1998,PATRIOTA,Cosmos,10
683,1998,PATRIOTA,Curicica,5
684,1998,PATRIOTA,Del Castilho,26
685,1998,PATRIOTA,Deodoro,18
686,1998,PATRIOTA,Encantado,7
687,1998,PATRIOTA,Engenheiro Leal,1
688,1998,PATRIOTA,Engenho Novo,45
689,1998,PATRIOTA,Engenho da Rainha,2
690,1998,PATRIOTA,Engenho de Dentro,76
691,1998,PATRIOTA,Flamengo,3
692,1998,PATRIOTA,Freguesia (Ilha),99
693,1998,PATRIOTA,Freguesia (Jacarepaguá),8
694,1998,PATRIOTA,Galeão,18
695,1998,PATRIOTA,Gamboa,1
696,1998,PATRIOTA,Gardênia Azul,1
697,1998,PATRIOTA,Glória,7
698,1998,PATRIOTA,Grajaú,5
699,1998,PATRIOTA,Guadalupe,11
700,1998,PATRIOTA,Guaratiba,2
701,1998,PATRIOTA,Gávea,4
702,1998,PATRIOTA,Higienópolis,4
703,1998,PATRIOTA,Honório Gurgel,3
704,1998,PATRIOTA,Humaitá,1
705,1998,PATRIOTA,Inhaúma,3
706,1998,PATRIOTA,Inhoaíba,8
707,1998,PATRIOTA,Ipanema,1
708,1998,PATRIOTA,Irajá,16
709,1998,PATRIOTA,Itanhangá,4
710,1998,PATRIOTA,Jacarepaguá,13
711,1998,PATRIOTA,Jardim América,4
712,1998,PATRIOTA,Jardim Botânico,4
713,1998,PATRIOTA,Jardim Carioca,38
714,1998,PATRIOTA,Jardim Guanabara,8
715,1998,PATRIOTA,Lagoa,4
716,1998,PATRIOTA,Lapa,2
717,1998,PATRIOTA,Laranjeiras,4
718,1998,PATRIOTA,Leblon,8
